Title,Employees,Sector,Industry,Hqcity,Hqstate,Revenues,Revchange,Prftchange,Assets,Totshequity,Profits
Conagra Brands,20900,"Food, Beverages & Tobacco",Food Consumer Products,Chicago,IL,14134,-10.8,"-1,168.70",13391,3714,-677
Synnex,110000,Wholesalers,Wholesalers: Electronics and Office Equipment,Fremont,CA,14062,5.4,12.7,5223,1976,234.9
CDW,8516,Technology,Information Technology Services,Lincolnshire,IL,13982,7.6,5.3,6948,1046,424.4
Textron,36000,Aerospace & Defense,Aerospace and Defense,Providence,RI,13788,2.7,38,15358,5574,962
Waste Management,41200,Business Services,Waste Management,Houston,TX,13609,5,57,20859,5297,1182
Illinois Tool Works,50000,Industrials,Industrial Machinery,Glenview,IL,13599,1.4,7.2,15201,4254,2035
Office Depot,38000,Retailing,Specialty Retailers: Other,Boca Raton,FL,13585,-6.2,"6,512.50",5540,1852,529
Monsanto,22450,Chemicals,Chemicals,St. Louis,MO,13502,-10,-42.3,19736,4534,1336
Cognizant Technology Solutions,260200,Technology,Information Technology Services,Teaneck,NJ,13487,8.6,-4.3,14262,10728,1553
Texas Instruments,29865,Technology,Semiconductors and Other Electronic Components,Dallas,TX,13370,2.8,20.4,16431,10473,3595
Lincoln National,9057,Financials,"Insurance: Life, Health (Stock)",Radnor,PA,13330,-1.8,3.3,261627,14478,1192
Newell Brands,53400,Household Products,"Home Equipment, Furnishings",Hoboken,NJ,13264,122.1,50.8,33838,11349,527.8
Land O’Lakes,10000,"Food, Beverages & Tobacco",Food Consumer Products,Arden Hills,MN,13233,0.6,-20.4,8305,1904,244.9
Marsh & McLennan,60000,Financials,Diversified Financials,New York,NY,13211,2.5,10.6,18190,6192,1768
Ecolab,47565,Chemicals,Chemicals,St. Paul,MN,13153,-2.9,22.7,18330,6901,1229.6
C.H. Robinson Worldwide,14125,Transportation,Transportation and Logistics,Eden Prairie,MN,13144,-2.5,0.7,3688,1258,513.4
Loews,15800,Financials,Insurance: Property and Casualty (Stock),New York,NY,13105,-2.3,151.5,76594,18163,654
CBRE Group,75000,Financials,Real Estate,Los Angeles,CA,13072,20.4,4.5,10780,3015,572
Kinder Morgan,11121,Energy,Pipelines,Houston,TX,13058,-9.3,179.8,80305,34431,708
Kellogg,37369,"Food, Beverages & Tobacco",Food Consumer Products,Battle Creek,MI,13014,-3.8,13,15111,1910,694
Western Digital,72878,Technology,Computer Peripherals,Irvine,CA,12994,-10.8,-83.5,32862,11145,242
Guardian Life Ins. Co. of America,8876,Financials,"Insurance: Life, Health (Mutual)",New York,NY,12919,2.3,-35.7,70339,6172.5,263.9
Ross Stores,78600,Retailing,Specialty Retailers: Apparel,Dublin,CA,12867,7.8,9.5,5309,2748,1117.7
